,Patient ID,asra_safe,Scenario Data
0,AA,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
1,AB,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
2,AC,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
3,AD,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
4,AE,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range."
5,AF,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
6,AG,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range."
7,AH,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
8,AI,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure."
9,AJ,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure."
